smiles,±Í«©,Caspase-3/7 HepG2,CYP1A2 Antag,CYP2C19 Antag,CYP2C9 Antag,CYP3A4 Antag,CYP3A7 Antag,ARE Agon,Mito Membrane Disrupt,ER Stress,ER-beta Agon,PPARg Agon,RAR Agon,ERR Antag,GR Antag,PPARd Antag,PPARg Antag,TR Antag,MDR-1,HPGD Inhib
C1=CC(=CC=C1C(=O)NCC(=O)O)N,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,1,1,0,,,1,,,,0,0,,,0,,0,,,,0
C(C1C(C(C(C(O1)O)O)O)O)O,0,,,,,,,,,,,,,,,,,,,
CC(C)CC(C(=O)NC(C(C)C)C(=O)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC2=NC=CN2)N,0,,,,,,,,,,,,,,,,,,,
O[Fe]=O.O[Fe]=O.[Fe],0,,,,,,,,,,,,,,,,,,,
CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,0,,,,,,,,,,,,,,,,,,,
[O-2].[O-2].[O-2].[O-2].[Fe+2].[Fe+3].[Fe+3],0,,,,,,,,,,,,,,,,,,,
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,1,,,,,,,,,,,,,,,,,,,
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,1,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O.OS(=O)(=O)O,0,,,,,,,,,,,,,,,,,,,0
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F,0,0,0,0,,,1,,0,,0,0,0,,0,,0,0,,
CC(C)C1=C(C(=CC=C1)C(C)C)O,1,1,,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,,0
CN1CCCN=C1C=CC2=CC=CS2,0,,,,,,,,,,,,,,,,,,,
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1,0,,1,,0,,1,0,0,0,,0,1,,0,,,,0
CN(C)CC=C(C1=CC=C(C=C1)Br)C2=CN=CC=C2,1,,,,,,,,,,,,,,,,,,,
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,1,1,,1,0,0,1,0,0,0,1,0,0,1,,0,1,,,0
C1CNP(=O)(OC1)N(CCCl)CCCl,1,,,,,,,,,,,,,,,,,,,0
C1=NC2=C(N1)C(=S)N=CN2,1,0,,1,1,0,,1,0,,0,,0,1,,,,0,,
