,Assay,Weighted Partial Correlation
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 16 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 16 hour,0.1727171096690775
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 24 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 24 hour,-0.0
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 32 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 32 hour,0.09167419713445021
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 40 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 40 hour,-0.0
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 8 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 8 hour,-0.0
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 16 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 16 hour,0.17510385690693836
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 24 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 24 hour,0.35683860024493147
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 32 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 32 hour,0.35999143972641
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 40 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 40 hour,0.4205142325442707
A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 8 hour,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 8 hour,-0.0
A High-Content qHTS Against Drug Library for the Identification of Small Molecules that Inhibit DYT1 Early Onset Primary Dystonia-Associated Cell Pathology,A High-Content qHTS Against Drug Library for the Identification of Small Molecules that Inhibit DYT1 Early Onset Primary Dystonia-Associated Cell Pathology,0.24416328257645498
A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells.,A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells.,0.20729983483461908
A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells.,A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells.,0.08488548526836795
A screen for compounds that inhibit replication of Vibrio cholerae chromosome II,A screen for compounds that inhibit replication of Vibrio cholerae chromosome II,0.18580974803881717
A screen for compounds that inhibit the activity of LtaS in Staphylococcus aureus,A screen for compounds that inhibit the activity of LtaS in Staphylococcus aureus,0.9029262506221485
A small molecule screen for inhibitors of the PhoP regulon in Salmonella Typhimurium,A small molecule screen for inhibitors of the PhoP regulon in Salmonella Typhimurium,0.11401124806150369
A small molecule screen for inhibitors of the PhoP regulon in Salmonella typhi,A small molecule screen for inhibitors of the PhoP regulon in Salmonella typhi,0.2248524763628353
Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of AddAB recombination protein complex,Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of AddAB recombination protein complex,0.3292802349115067
Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of RecBCD (with phage),Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of RecBCD (with phage),0.23563495182137212
Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay,Acetylcholinesterase (AChE) small molecule antagonists: colormetric cell-based qHTS assay,-0.0
Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay,Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay,0.04557256131798285
Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay,Acetylcholinesterase (AChE) small molecule antagonists: fluorescence cell-based qHTS assay,0.13824429135574356
Agonist activity at human ADRA1A in an in vitro cell-based assay (CRO assay) measured by fluorescence spectroscopy,Agonist activity at human ADRA1A in an in vitro cell-based assay (CRO assay) measured by fluorescence spectroscopy,0.0
Allosteric Agonists of the Human D1 Dopamine Receptor: qHTS,Allosteric Agonists of the Human D1 Dopamine Receptor: qHTS,-0.0
Antagonist activity at human ADRA1A in an in vitro cell-based assay measured by fluorescence spectroscopy,Antagonist activity at human ADRA1A in an in vitro cell-based assay measured by fluorescence spectroscopy,0.0
Antagonist activity at human TBXA2R in an in vitro cell-based assay measured by fluorescence spectroscopy,Antagonist activity at human TBXA2R in an in vitro cell-based assay measured by fluorescence spectroscopy,0.0
Antagonist activity human CHRM1 in an in vitro cell-based assay measured by fluorescence spectroscopy,Antagonist activity human CHRM1 in an in vitro cell-based assay measured by fluorescence spectroscopy,0.0
Antagonist of Human D 1 Dopamine Receptor: qHTS,Antagonist of Human D 1 Dopamine Receptor: qHTS,0.050193192564467574
Binding affinity towards human ADORA3 (agonistic activity) in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human ADORA3 (agonistic activity) in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human ADRA2A in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human ADRA2A in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human AR in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human AR in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human CHRM2 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human CHRM2 in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human DRD1 in an in vitro assay with cellular components (NIBR assay) measured by scintillation counting,Binding affinity towards human DRD1 in an in vitro assay with cellular components (NIBR assay) measured by scintillation counting,0.0
Binding affinity towards human DRD3 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human DRD3 in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human ESR1 in an in vitro cell free assay (CRO assay) measured by membrane filtration,Binding affinity towards human ESR1 in an in vitro cell free assay (CRO assay) measured by membrane filtration,0.0
Binding affinity towards human HRH3 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human HRH3 in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human HTR1A in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human HTR1A in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human OPRM1 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human OPRM1 in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human PGR in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human PGR in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human SLC6A2 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human SLC6A2 in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human SLC6A3 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human SLC6A3 in an in vitro assay with cellular components measured by scintillation counting,0.0
Binding affinity towards human SLC6A4 in an in vitro assay with cellular components measured by scintillation counting,Binding affinity towards human SLC6A4 in an in vitro assay with cellular components measured by scintillation counting,0.0
Biochemical firefly luciferase enzyme assay for NPC,Biochemical firefly luciferase enzyme assay for NPC,0.2256969642249772
"CYP3A4 induction through human pregnane X receptor (PXR) by small molecules, qHTS assay","CYP3A4 induction through human pregnane X receptor (PXR) by small molecules, qHTS assay",0.08300069834951432
