compound,label
Nc1c2CCCCc2nc3ccccc13,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(=O)O,1
CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN,0
NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F,1
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,0
COc1ccc2cc(CCC(=O)C)ccc2c1,1
CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4nn[nH]n4,1
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(CC(=O)O)C2=O,1
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl,0
Clc1ccc(OCC(=O)N2CCN(Cc3ccc4OCOc4c3)CC2)cc1,1
[O-][N+](=O)c1oc(C=NN2CCOC2=O)cc1,1
CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,1
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)N)\c3occc3,1
CCc1oc2ccccc2c1C(=O)c3cc(Br)c(O)c(Br)c3,1
CC(C)NCC(O)c1ccc(O)c(O)c1,0
CCCC(C)(COC(=O)N)COC(=O)N,0
COC1=CC=C2C(=CC1=O)C(CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,0
NC1=CC(=NC(=N)N1O)N2CCCCC2,0
Cc1onc(c2ccccc2)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O,1
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,1
ClCCNC(=O)N(CCCl)N=O,1
NCCCNCCSP(=O)(O)O,0
CN1CCCN=C1\C=C\c2cccs2,0
CC(O)(P(=O)(O)O)P(=O)(O)O,0
OC(=O)C1=C\C(=N/Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3)\C=CC1=O,1
CC(C)(CO)[C@@H](O)C(=O)NCCCO,0
CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCC(CCO)CC4)c2c1,1
COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,1
COc1c2OC(=O)C=Cc2cc3ccoc13,1
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,1
C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O,1
[Br-].CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)c3ccccc3,0
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2,1
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,1
OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc2ccccc2,0
NC(=NCCN1CCCCCCC1)N,0
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1
Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1,0
